posicion_tiro,xg,cantidad_tiros
Penalty,0.768809849521204,731
empty goal,0.768472906403941,203
fast break,0.7682570593963,1027
breakthrough,0.754170324846356,1139
centre 6m,0.714932126696833,1105
left 6m,0.706806282722513,382
right 6m,0.689567430025445,393
right wing,0.619565217391304,644
left wing,0.617378048780488,656
left 9m,0.423076923076923,572
right 9m,0.4048,625
centre 9m,0.394849785407725,1864
